left_ear,right_ear,avg_ear,label
0.25194650392242357,0.45813717431514467,0.3550418391187841,drowsy
0.1731313466183281,0.4152241348301793,0.2941777407242537,drowsy
0.33193208286736997,0.5201086760396528,0.4260203794535114,drowsy
0.18025461744953475,0.42242369336090735,0.30133915540522105,drowsy
0.2481513722940046,0.4433247331788294,0.345738052736417,drowsy
0.22226931181066123,0.45518821410476706,0.33872876295771415,drowsy
0.0181096953317658,0.3850989362776103,0.20160431580468807,drowsy
0.22984862770969947,0.4182985614313989,0.3240735945705492,drowsy
0.2722414920303975,0.41632535938521437,0.3442834257078059,drowsy
0.2571310275273768,0.46185289380778777,0.35949196066758227,drowsy
0.22962882371077323,0.4181999777859794,0.3239144007483763,drowsy
0.16212699102542927,0.38814202836187117,0.2751345096936502,drowsy
0.21607943779800612,0.4359965444892658,0.32603799114363596,drowsy
0.06740559644811575,0.3805917746542855,0.22399868555120062,drowsy
0.03933794689206126,0.3596763841824402,0.19950716553725073,drowsy
0.262226820970768,0.4360067450670857,0.34911678301892685,drowsy
0.2341784799374945,0.4632414437304027,0.3487099618339486,drowsy
0.24700428826053283,0.4419695975397918,0.34448694290016235,drowsy
0.22534549164150292,0.4758229087075294,0.3505842001745162,drowsy
0.1942433263036927,0.4113968160764898,0.30282007119009124,drowsy
0.1977899256800898,0.4106608768884462,0.304225401284268,drowsy
0.23460419013941158,0.40318830884992446,0.318896249494668,drowsy
0.3174967588238827,0.49913940609808766,0.40831808246098517,drowsy
0.21196150590863772,0.39058431380522507,0.3012729098569314,drowsy
0.21285763985029518,0.4226309314799829,0.317744285665139,drowsy
0.0759919909522187,0.38718088151341706,0.23158643623281788,drowsy
0.22739007446709622,0.4037324956851734,0.3155612850761348,drowsy
0.22729542402390013,0.43457390674608437,0.3309346653849923,drowsy
0.07095808556996892,0.3737836096569896,0.22237084761347925,drowsy
0.07204957543412512,0.37387190831080475,0.22296074187246492,drowsy
0.28991306591544647,0.5145743376341922,0.4022437017748194,drowsy
0.2515300966173187,0.43692498004682373,0.3442275383320712,drowsy
0.22393130756609392,0.4096433821128445,0.31678734483946924,drowsy
0.26116630360443666,0.418906053923099,0.3400361787637678,drowsy
0.25990062738533026,0.4391744726603294,0.3495375500228298,drowsy
0.264042557680569,0.47097493529334605,0.3675087464869575,drowsy
0.24672404807278814,0.46377928753241465,0.3552516678026014,drowsy
0.36068021056817223,0.5289656239279397,0.44482291724805595,drowsy
0.17563325944913807,0.39685258267072565,0.2862429210599319,drowsy
0.32794768768988136,0.4835672156906218,0.40575745169025157,drowsy
